cycle,time_ps,lane,pc,instr
1137,2274,0,0x10000000,0x10029b
1195,2390,0,0x10000004,0x1f29293
1256,2512,0,0x10000008,0x28067
4209,8418,0,0x80000000,0x30401073
4218,8436,0,0x80000004,0x30047073
4227,8454,0,0x80000008,0x30201073
4235,8470,0,0x8000000c,0x297
4239,8478,0,0x80000010,0xf428293
4248,8496,0,0x80000014,0x30529073
4253,8506,0,0x80000018,0x413
4253,8506,1,0x8000001c,0x493
4254,8508,0,0x80000020,0x913
4257,8514,0,0x80000024,0x997
4261,8522,0,0x80000028,0x1dc98993
4261,8522,1,0x8000002c,0xa17
4261,8522,2,0x80000030,0x18a0a13
4262,8524,0,0x80000034,0xa97
4262,8524,1,0x80000038,0x1ca8a93
4262,8524,2,0x8000003c,0xb00b13
4262,8524,3,0x80000040,0xb93
4297,8594,0,0x80000100,0x342022f3
4299,8598,0,0x80000104,0x34102373
4302,8604,0,0x80000108,0x343023f3
4311,8622,0,0x8000010c,0x30002e73
4314,8628,0,0x80000110,0x59b023
4314,8628,1,0x80000114,0x69b423
4315,8630,0,0x80000118,0x79b823
4315,8630,1,0x8000011c,0x1c9bc23
4315,8630,2,0x80000120,0xf96290e3
4315,8630,3,0x80000124,0xf7431ee3
4315,8630,4,0x80000128,0xf7741ce3
4315,8630,5,0x8000012c,0xf6049ae3
4316,8632,0,0x80000130,0xf60918e3
4316,8632,1,0x80000134,0xbe5e93
4316,8632,2,0x80000138,0x3efe93
4316,8632,3,0x8000013c,0x300f13
4317,8634,0,0x80000140,0xf7ee90e3
4317,8634,1,0x80000144,0x8e7e93
4317,8634,2,0x80000148,0xf40e9ce3
4317,8634,3,0x8000014c,0x140413
4318,8636,0,0x80000150,0x2098993
4327,8654,0,0x80000154,0x341a9073
4339,8678,0,0x80000158,0x30200073
4352,8704,0,0x80000050,0x4049863
4352,8704,1,0x80000054,0x4091663
4352,8704,2,0x80000058,0x100293
4353,8706,0,0x8000005c,0x4541263
4353,8706,1,0x80000060,0xa17
4361,8722,0,0x80000064,0x18a0a13
4362,8724,0,0x80000068,0xa97
4363,8726,0,0x8000006c,0x1ca8a93
4364,8728,0,0x80000070,0x200b13
4389,8778,0,0x80000100,0x342022f3
4391,8782,0,0x80000104,0x34102373
4394,8788,0,0x80000108,0x343023f3
4403,8806,0,0x8000010c,0x30002e73
4406,8812,0,0x80000110,0x59b023
4406,8812,1,0x80000114,0x69b423
4407,8814,0,0x80000118,0x79b823
4407,8814,1,0x8000011c,0x1c9bc23
4407,8814,2,0x80000120,0xf96290e3
4407,8814,3,0x80000124,0xf7431ee3
4407,8814,4,0x80000128,0xf7741ce3
4407,8814,5,0x8000012c,0xf6049ae3
4408,8816,0,0x80000130,0xf60918e3
4408,8816,1,0x80000134,0xbe5e93
4408,8816,2,0x80000138,0x3efe93
4408,8816,3,0x8000013c,0x300f13
4409,8818,0,0x80000140,0xf7ee90e3
4409,8818,1,0x80000144,0x8e7e93
4409,8818,2,0x80000148,0xf40e9ce3
4409,8818,3,0x8000014c,0x140413
4410,8820,0,0x80000150,0x2098993
4419,8838,0,0x80000154,0x341a9073
4431,8862,0,0x80000158,0x30200073
4444,8888,0,0x80000084,0x49e63
4444,8888,1,0x80000088,0x91c63
4444,8888,2,0x8000008c,0x200293
4445,8890,0,0x80000090,0x541863
4445,8890,1,0x80000094,0x513
4453,8906,0,0x80000098,0x6b
