cycle,time_ps,rob_flush,flush_rob,flush_level,rob_exception,rob_state,exception_selected,selected_rob,selected_isEnqExcp,csr_trap,csr_trap_pc,csr_trap_vector,target_update,csr_target,csr_state,csr_in_valid,csr_in_ready,csr_in_rob,csr_out_valid,csr_out_ready,csr_out_rob,csr_out_ex11,csr_out_ex2,xret_redirect,frontend_redirect,frontend_target,frontend_ftq,frontend_offset,frontend_level,frontend_mispred,fetch_valid,fetch_ready,fetch_start,mepc,mcause,mtval,mstatus
4190,8380,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4191,8382,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4192,8384,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4193,8386,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4194,8388,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4195,8390,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4196,8392,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4197,8394,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000040,0x0,0x0,0x0,0xa00000000
4198,8396,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x1,0x80000040,0x0,0x0,0x0,0xa00000000
4199,8398,0x0,0x3,0x0,0x0,0x0,0x0,0x28,0x0,0x0,0x800005ee,0xeee2e1,0x0,0x38020800,0x0,0x0,0x1,0xcd,0x0,0x1,0x46,0x0,0x0,0x0,0x0,0x80000000,0x2,0x0,0x0,0x1,0x1,0x0,0x80000060,0x0,0x0,0x0,0xa00000000
