cycle,time_ps,interface,valid,ready,fire,pc,instr,rob_flag,rob_value,ex2,ex11,pdest
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_0,1,1,1,0x80000000,0x30401073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_1,1,1,1,0x80000004,0x30047073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_2,1,1,1,0x80000008,0x30201073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_3,1,1,1,0x8000000c,0x297,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_4,1,1,1,0x80000010,0xf428293,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_5,1,1,1,0x80000014,0x30529073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_0,1,1,1,0x80000000,0x30401073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_1,1,1,1,0x80000004,0x30047073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_2,1,1,1,0x80000008,0x30201073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_3,1,1,1,0x8000000c,0x297,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_4,1,1,1,0x80000010,0xf428293,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4200,8400,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_5,1,1,1,0x80000014,0x30529073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_0,1,1,1,0x80000018,0x413,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_in_1,1,1,1,0x8000001c,0x493,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_0,1,1,1,0x80000018,0x413,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.decode.io_out_1,1,1,1,0x8000001c,0x493,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.rename.io_in_0,1,1,1,0x80000000,0x30401073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
4201,8402,TOP.SimTop.cpu.l_soc.core_with_l2.core.backend.inner_ctrlBlock.rename.io_in_1,1,1,1,0x80000004,0x30047073,not-on-interface,not-on-interface,0x0,0x0,not-on-interface
