========== CPU INIT REQUESTS ==========
This data is generated with a fixed random seed during simulation testing.
The request data will contain a certain proportion of test hits/replacement cache samples, rather than being completely randomly generated.
For detailed code, see: src/test/scala/FakeCPU.scala
REQ00 : addr=0x8a505179bda1 rd=21
REQ01 : addr=0x9d83f5c229d5 rd=18
REQ02 : addr=0xef664a778da7 rd=11
REQ03 : addr=0x8186e5d77daa rd=27
REQ04 : addr=0x9f997f7fef7c rd=5
REQ05 : addr=0x93e560e23455 rd=20
REQ06 : addr=0xc8c76e6fffef rd=3
REQ07 : addr=0xeea7b19b1919 rd=19
REQ08 : addr=0xcf39bb21ad88 rd=28
REQ09 : addr=0xb2daa0269445 rd=19
REQ10 : addr=0xb713461a0c5e rd=2
REQ11 : addr=0xba73fc8fc6a6 rd=18
REQ12 : addr=0xcbddf07c0c55 rd=11
REQ13 : addr=0xb40c93b1d797 rd=12
REQ14 : addr=0xaf7ec647b47f rd=27
REQ15 : addr=0xba73fc8fc691 rd=4
REQ16 : addr=0xcf39bb21ad94 rd=4
REQ17 : addr=0xbbd5dbe53993 rd=17
REQ18 : addr=0xf4682d150d91 rd=29
REQ19 : addr=0x9f997f7fef71 rd=9
REQ20 : addr=0xadef18f81bac rd=6
REQ21 : addr=0xc090819a4c03 rd=13
REQ22 : addr=0xce8997be6ecb rd=13
REQ23 : addr=0xa0775a1b7694 rd=27
REQ24 : addr=0xd4a2d18f7d25 rd=16
REQ25 : addr=0xaedcc2c72674 rd=29
REQ26 : addr=0x8328d3b1ccb8 rd=22
REQ27 : addr=0xe19d3461dd4f rd=22
REQ28 : addr=0xda6404efdc73 rd=5
REQ29 : addr=0x8328d3b1cc95 rd=5
REQ30 : addr=0x9e874ed2a986 rd=9
REQ31 : addr=0xadef18f81bba rd=1
REQ32 : addr=0xcfe108fc2914 rd=6
REQ33 : addr=0xf20630d81459 rd=0
REQ34 : addr=0xf67a9269466f rd=28
REQ35 : addr=0xadef18f81b83 rd=28
REQ36 : addr=0xb40c93b1d791 rd=24
REQ37 : addr=0xb1b3d8a65ed5 rd=1
REQ38 : addr=0xc4607fe808d2 rd=7
REQ39 : addr=0xab7b5d87df7b rd=12
REQ40 : addr=0xcf39bb21adb5 rd=16
REQ41 : addr=0x9f997f7fef47 rd=30
REQ42 : addr=0x9b134e0eed52 rd=3
REQ43 : addr=0xf42c3271f44c rd=4
REQ44 : addr=0xcf39bb21ad99 rd=7
REQ45 : addr=0xd829a5122d8e rd=0
REQ46 : addr=0xcf39bb21adbf rd=29
REQ47 : addr=0x8328d3b1cc9b rd=0
REQ48 : addr=0xc60afb9bf67e rd=1
REQ49 : addr=0xc01604b40dde rd=2
=======================================
